elevation,altitude,distance,rss
3,15,101,-79
3,15,103,-82
3,16,106,-76
3,16,108,-72
3,16,109,-73
3,16,110,-80
3,15,111,-72
3,15,112,-67
3,15,113,-70
3,15,114,-70
3,15,115,-68
3,15,116,-63
3,14,118,-61
3,14,120,-68
3,14,123,-67
3,14,126,-72
3,14,131,-70
3,14,136,-67
3,14,141,-70
3,14,146,-78
2,14,153,-78
3,14,158,-78
3,14,165,-78
3,14,172,-74
3,14,182,-68
3,14,190,-70
3,14,200,-73
3,14,211,-74
4,14,221,-79
4,14,232,-82
4,14,244,-80
4,14,255,-82
4,14,267,-79
4,14,279,-84
3,14,290,-77
3,14,303,-88
3,14,315,-88
3,14,327,-77
3,15,339,-77
3,15,350,-77
3,15,362,-77
4,15,373,-66
4,15,384,-68
4,15,395,-68
4,15,405,-68
4,15,415,-72
4,15,425,-67
4,15,435,-77
4,15,445,-74
4,15,455,-79
5,15,464,-74
5,15,474,-71
5,15,484,-73
5,16,495,-80
5,16,505,-79
5,16,526,-68
5,16,537,-68
4,16,547,-69
4,16,557,-69
4,16,568,-67
4,16,577,-67
4,16,587,-66
4,16,597,-70
4,16,607,-70
4,16,616,-65
4,16,625,-65
4,16,635,-65
4,16,644,-66
4,16,653,-68
4,16,662,-67
4,16,671,-65
4,16,680,-68
5,16,689,-67
5,16,697,-69
5,16,705,-67
5,16,714,-70
5,16,722,-70
5,17,730,-73
5,17,739,-76
5,17,747,-77
5,17,755,-76
5,17,765,-78
5,17,774,-73
5,17,783,-76
5,17,793,-75
5,17,803,-77
5,17,813,-61
5,17,823,-62
5,17,833,-61
5,17,843,-61
5,17,854,-61
5,17,863,-61
5,17,872,-61
5,17,882,-62
5,17,892,-68
5,17,902,-63
5,17,912,-61
5,17,922,-71
5,17,932,-75
5,17,942,-71
5,17,952,-78
4,17,963,-67
4,17,973,-68
4,17,984,-69
4,17,995,-71
4,17,1005,-74
4,17,1017,-69
4,17,1028,-75
4,17,1039,-79
4,17,1050,-74
4,17,1060,-74
4,17,1072,-71
4,17,1083,-70
4,17,1094,-69
4,18,1105,-66
4,18,1116,-67
4,18,1127,-67
4,18,1139,-72
4,18,1150,-77
4,18,1162,-74
8,18,1465,-77
8,18,1473,-76
8,18,1482,-79
8,18,1489,-76
8,18,1498,-87
9,18,1506,-81
9,18,1516,-83
9,18,1524,-89
9,18,1533,-83
9,18,1543,-74
9,18,1552,-74
9,18,1562,-76
9,18,1572,-77
8,18,1582,-76
8,18,1592,-75
7,18,1602,-75
7,18,1613,-78
6,18,1623,-77
6,18,1633,-76
5,18,1644,-76
5,18,1655,-73
5,18,1666,-75
5,18,1676,-77
5,18,1687,-80
5,18,1698,-77
5,18,1708,-76
5,18,1718,-78
5,18,1728,-80
5,18,1739,-85
5,18,1749,-82
5,18,1759,-79
4,18,1771,-83
5,18,1781,-94
5,18,1792,-92
5,17,1804,-78
5,17,1815,-85
5,17,1826,-85
5,17,1838,-82
5,17,1849,-87
5,17,1861,-84
5,17,1873,-87
5,17,1885,-82
5,17,1897,-85
5,17,1909,-83
5,17,1920,-82
5,17,1933,-83
5,17,1945,-76
5,17,1957,-79
6,17,1969,-93
7,17,1981,-79
8,17,1993,-84
8,17,2005,-89
8,17,2018,-83
9,17,2029,-84
9,17,2042,-82
9,17,2054,-88
8,17,2066,-84
8,17,2079,-81
8,17,2091,-81
